id,question,answer,label
0,What is the full name of Virginia Tech?,Virginia Polytechnic Institute and State University (VPI),1.0
1,Where is the main campus of Virginia Tech located?,"Blacksburg, Virginia",1.0
2,How many students does Virginia Tech have?,"37,000",1.0
3,What is the classification of Virginia Tech among universities?,R1: Doctoral Universities - Very high research activity,1.0
4,What are the athletic teams of Virginia Tech called?,Virginia Tech Hokies,1.0
5,In which division does Virginia Tech's athletic teams compete?,Division I of the NCAA,1.0
6,Who established the Reserve Officer Training Corps at Virginia Tech?,Joseph Dupuy Eggleston,1.0
7,"Who was shot by physics professor Charles E. Vawter, Jr. at Virginia Tech?","Stockton Heth, Jr.",1.0
8,Who was the seventh president of Virginia Tech?,Joseph Dupuy Eggleston,1.0
9,When did VPI admit its first female students?,1921,1.0
10,What was the first women's dormitory at VPI?,Hillcrest Hall,1.0
11,Who was the first African American to graduate from VPI?,Charlie L. Yates,1.0
12,When did VPI become a co-educational research university?,During T. Marshall Hahn's tenure from 1962 to 1974,1.0
13,What is the full legal name of Virginia Tech?,Virginia Polytechnic Institute and State University,1.0
14,What was the deadliest mass shooting on an American college campus?,The Virginia Tech massacre in 2007,1.0
15,What is the admissions rate for Virginia Tech?,65.8%,1.0
16,What is the GPA requirement to remain in the Honors College at Virginia Tech?,3.6,1.0
17,What is the ranking of Virginia Tech's undergraduate architecture program by CEOWORLD magazine?,3rd,1.0
18,How many scholarships does the Astronaut Scholarship Foundation award?,fifty,1.0
19,What is the value of each scholarship awarded by the Astronaut Scholarship Foundation?,"$10,000",1.0
20,Who are the past Virginia Tech Astronaut Scholars?,"Arianna Krinos, Jim Owens, Christine Faunce",1.0
21,Who is the contact person for the Astronaut Scholarship at Virginia Tech?,Christina McIntyre (cmcintyre@vt.edu),1.0
22,What is the English-Speaking Union Scholarship awarded for?,summer study in Great Britain,1.0
23,What criteria does the English-Speaking Union consider for the scholarship?,"literary and scholastic ability, physical vigor, character and personality",1.0
24,What is the campus deadline for the English-Speaking Union Scholarship at Virginia Tech?,mid-December,1.0
25,Who is the contact person for the English-Speaking Union Scholarship at Virginia Tech?,Christina McIntyre,1.0
