,id,question,answer,label
0,0,What is the full name of Virginia Tech?,Virginia Polytechnic Institute and State University (VPI),1.0
1,1,Where is the main campus of Virginia Tech located?,"Blacksburg, Virginia",1.0
2,2,How many students does Virginia Tech have?,"37,000",1.0
3,3,What is the classification of Virginia Tech among universities?,R1: Doctoral Universities - Very high research activity,1.0
4,4,What are the athletic teams of Virginia Tech called?,Virginia Tech Hokies,1.0
5,5,In which division does Virginia Tech's athletic teams compete?,Division I of the NCAA,1.0
6,6,Who established the Reserve Officer Training Corps at Virginia Tech?,Joseph Dupuy Eggleston,1.0
7,7,"Who was shot by physics professor Charles E. Vawter, Jr. at Virginia Tech?","Stockton Heth, Jr.",1.0
8,8,Who was the seventh president of Virginia Tech?,Joseph Dupuy Eggleston,1.0
9,9,When did VPI admit its first female students?,1921,1.0
10,10,What was the first women's dormitory at VPI?,Hillcrest Hall,1.0
11,11,Who was the first African American to graduate from VPI?,Charlie L. Yates,1.0
12,12,When did VPI become a co-educational research university?,During T. Marshall Hahn's tenure from 1962 to 1974,1.0
13,13,What is the full legal name of Virginia Tech?,Virginia Polytechnic Institute and State University,1.0
14,14,What was the deadliest mass shooting on an American college campus?,The Virginia Tech massacre in 2007,1.0
15,15,What is the admissions rate for Virginia Tech?,65.8%,1.0
16,16,What is the GPA requirement to remain in the Honors College at Virginia Tech?,3.6,1.0
17,17,What is the ranking of Virginia Tech's undergraduate architecture program by CEOWORLD magazine?,3rd,1.0
18,18,How many scholarships does the Astronaut Scholarship Foundation award?,fifty,1.0
19,19,What is the value of each scholarship awarded by the Astronaut Scholarship Foundation?,"$10,000",1.0
20,20,Who are the past Virginia Tech Astronaut Scholars?,"Arianna Krinos, Jim Owens, Christine Faunce",1.0
21,21,Who is the contact person for the Astronaut Scholarship at Virginia Tech?,Christina McIntyre (cmcintyre@vt.edu),1.0
22,22,What is the English-Speaking Union Scholarship awarded for?,summer study in Great Britain,1.0
23,23,What criteria does the English-Speaking Union consider for the scholarship?,"literary and scholastic ability, physical vigor, character and personality",1.0
24,24,What is the campus deadline for the English-Speaking Union Scholarship at Virginia Tech?,mid-December,1.0
25,25,Who is the contact person for the English-Speaking Union Scholarship at Virginia Tech?,Christina McIntyre,1.0
26,26,Who were some of the past recipients of the English-Speaking Union Scholarship at Virginia Tech?,"Cassidy Grubbs, Josh Trebach, Erica Butler, Kirsten Davis, Janine Schank, Michelle Krusiec, Valerie Alder",1.0
27,27,What are the Ford Foundation Fellowships for Minorities?,The Ford Foundation Fellowships for Minorities include an annual stipend to the student and an institutional allowance in lieu of tuition and fees.,1.0
28,28,How many pre-doctoral fellowships are made for research-based doctoral programs?,Approximately 50 pre-doctoral fellowships are made for research-based doctoral programs.,1.0
29,29,What are the eligible disciplines for the Ford Foundation Fellowships?,"The eligible disciplines for the Ford Foundation Fellowships are behavioral and social sciences, humanities, engineering, mathematics, computer science, physical sciences, and biological sciences or interdisciplinary programs consisting of two or more eligible disciplines.",1.0
30,30,What is the final deadline for the Ford Foundation Fellowships?,The final deadline is usually in early November.,1.0
31,31,What are the Fulbright Scholarships awarded for?,The Fulbright Scholarships are awarded to graduating seniors and graduate students to pursue a research project in their major field at a university in another country.,1.0
32,32,What is included in the amount of the Fulbright Scholarships?,"The amount of the Fulbright Scholarships includes round-trip transportation, tuition, living expenses, and frequently an accelerated language course.",1.0
33,33,What are the important considerations for the Fulbright Scholarships?,Language proficiency and careful selection of the site of study for specific goals are important considerations for the Fulbright Scholarships.,1.0
34,34,What is the national deadline for the Fulbright Scholarships?,The national deadline is usually the third week in October.,1.0
35,35,Who should students contact to discuss the Fulbright Scholarships application process?,Students should contact Betty Watts in early/mid-Spring semester the year before their application to discuss the application process.,1.0
36,36,How can students access the online application for the Fulbright Scholarships?,The online application is available on the Fulbright Scholarships website starting March 31.,1.0
37,37,Who are the Virginia Tech Fulbright Program Advisers?,The Virginia Tech Fulbright Program Advisers are Betty Watts.,1.0
38,38,What is the contact information for Betty Watts?,Betty Watts can be reached at 540-231-7220 or bettyw@vt.edu.,1.0
39,39,What is the purpose of the Gates Cambridge Scholarships?,"The Gates Cambridge Scholarships provide the full cost of studying in Cambridge for one, two, three or in certain exceptional circumstances, four years.",1.0
40,40,What kind of students does the Gates Cambridge Scholarships seek?,The Gates Cambridge Scholarships seek students of exceptional academic achievement and scholarly promise.,1.0
41,41,How do students apply for the Gates Cambridge Scholarships?,Students apply directly to Cambridge for the Gates Cambridge Scholarships.,1.0
42,42,What is the deadline for applying to the Gates Cambridge Scholarships?,The deadline is usually November 1 for applying to the Gates Cambridge Scholarships.,1.0
43,43,What do the Goldwater Scholarships award?,"The Goldwater Scholarships award up to $7,500 per year for tuition, fees, room, board, and books for the junior/senior years.",1.0
